Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
ARR-81,Ba2ZrSnO6,"['Ba(OH)2', 'SnO2', 'ZrO2']",700.0,4,BF
ARR-82,Ba2ZrSnO6,"['BaCO3', 'SnO2', 'ZrO2']",700.0,4,BF
ARR-84,Ba2ZrSnO6,"['BaO2', 'SnO2', 'ZrO2']",700.0,4,BF
ARR-83,Ba2ZrSnO6,"['BaO', 'SnO2', 'ZrO2']",700.0,4,BF
ARR-56,Ba4InSbO8,"['Ba(OH)2', 'In2O3', 'Sb2O3']",700.0,4,BF
ARR-57,Ba4InSbO8,"['Sb2O3', 'BaCO3', 'In2O3']",700.0,4,BF
ARR-87,Ba4InSbO8,"['BaCO3', 'In2O3', 'Sb2O5']",700.0,4,BF
ARR-89,Ba4InSbO8,"['BaO2', 'In2O3', 'Sb2O3']",700.0,4,BF
ARR-59,Ba4InSbO8,"['BaO', 'In2O3', 'Sb2O3']",700.0,4,BF
ARR-1,Mg3NiO4,"['MgCO3', 'Ni(OH)2']",800.0,4,BF
ARR-119,Ba4InSbO8,"['Ba(OH)2', 'In2O3', 'Sb2O3']",,,BF
ARR-120,Ba4InSbO8,"['BaCO3', 'In2O3', 'Sb2O3']",,,BF
ARR-121,Ba4InSbO8,"['BaCO3', 'In2O3', 'Sb2O5']",,,BF
ARR-123,Ba4InSbO8,"['BaO2', 'In2O3', 'Sb2O3']",,,BF
ARR-122,Ba4InSbO8,"['BaO', 'In2O3', 'Sb2O3']",,,BF
ARR-136,Ba9Ca3La4(Fe4O15)2,"['BaCO3', 'CaCO3', 'Fe2O3', 'La2O3']",,,BF
ARR-137,Ba9Ca3La4(Fe4O15)2,"['BaCO3', 'CaO', 'Fe2O3', 'La2O3']",,,BF
ARR-139,Ba9Ca3La4(Fe4O15)2,"['BaO2', 'CaCO3', 'Fe2O3', 'La2O3']",,,BF
ARR-138,Ba9Ca3La4(Fe4O15)2,"['BaO', 'CaCO3', 'Fe2O3', 'La2O3']",,,BF
ARR-112,BaMn8O16,"['Ba(OH)2', 'MnO']",600.0,4,BF
ARR-24,BaMn8O16,"['BaCO3', 'Mn2O3']",600.0,4,BF
ARR-25,BaMn8O16,"['BaCO3', 'Mn3O4']",600.0,4,BF
ARR-26,BaMn8O16,"['BaCO3', 'MnCO3']",600.0,4,BF
ARR-27,BaMn8O16,"['BaCO3', 'MnO2']",600.0,4,BF
ARR-113,BaMn8O16,"['BaO2', 'Mn3O4']",600.0,4,BF
ARR-110,BaMn8O16,"['BaO2', 'MnO']",600.0,4,BF
ARR-111,BaMn8O16,"['BaO', 'MnO']",600.0,4,BF
ARR-61,Ca3Ti3Cr2O12,"['Ca(OH)2', 'Cr2O3', 'TiO2']",800.0,4,BF
ARR-63,Ca3Ti3Cr2O12,"['CaCO3', 'Cr2O3', 'TiO2']",800.0,4,BF
ARR-62,Ca3Ti3Cr2O12,"['CaO', 'Cr2O3', 'TiO2']",800.0,4,BF
