Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
MINES-12,LiAl0.5Cr0.5Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Cr2O3']",900.0,0.4,BF
MINES-3,LiAl0.5Fe0.5Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Fe2O3']",900.0,0.4,BF
MINES-21,LiAl0.5Ga0.5Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Ga2O3']",900.0,0.4,BF
MINES-18,LiAl0.5In0.5Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'In2O3']",900.0,0.4,BF
MINES-15,LiAl0.5Mn0.5Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Mn2O3']",900.0,0.4,BF
MINES-6,LiAl0.5Sc0.5Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Sc2O3']",900.0,0.4,BF
MINES-9,LiAl0.5V0.5Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'V2O3']",900.0,0.4,BF
MINES-24,LiAl0.5Y0.5Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Y2O3']",900.0,0.4,BF
MINES-11,LiAl0.95Cr0.05Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Cr2O3']",900.0,0.4,BF
MINES-2,LiAl0.95Fe0.05Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Fe2O3']",900.0,0.4,BF
MINES-20,LiAl0.95Ga0.05Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Ga2O3']",900.0,0.4,BF
MINES-17,LiAl0.95In0.05Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'In2O3']",900.0,0.4,BF
MINES-14,LiAl0.95Mn0.05Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Mn2O3']",900.0,0.4,BF
MINES-5,LiAl0.95Sc0.05Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Sc2O3']",900.0,0.4,BF
MINES-8,LiAl0.95V0.05Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'V2O3']",900.0,0.4,BF
MINES-23,LiAl0.95Y0.05Si2O6,"['Li2CO3', 'SiO2', 'Al2O3', 'Y2O3']",900.0,0.4,BF
MINES-10,LiCrSi2O6,"['Li2CO3', 'SiO2', 'Cr2O3']",900.0,0.4,BF
MINES-1,LiFeSi2O6,"['Li2CO3', 'SiO2', 'Fe2O3']",900.0,0.4,BF
MINES-19,LiGaSi2O6,"['Li2CO3', 'SiO2', 'Ga2O3']",900.0,0.4,BF
MINES-16,LiInSi2O6,"['Li2CO3', 'SiO2', 'In2O3']",900.0,0.4,BF
MINES-13,LiMnSi2O6,"['Li2CO3', 'SiO2', 'Mn2O3']",900.0,0.4,BF
MINES-4,LiScSi2O6,"['Li2CO3', 'SiO2', 'Sc2O3']",900.0,0.4,BF
MINES-7,LiVSi2O6,"['Li2CO3', 'SiO2', 'V2O3']",900.0,0.4,BF
MINES-22,LiYSi2O6,"['Li2CO3', 'SiO2', 'Y2O3']",900.0,0.4,BF
