Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
Na-271,Na5AlP2O9,"['Al2O3', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-272,Na4GeP2O9,"['GeO2', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-273,Na4FeP2O9,"['Fe3O4', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-274,Na4MoP2O9,"['MoO2', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-275,Na4MnP2O9,"['MnO2', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-276,Na4VP2O9,"['V2O5', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-277,Na4ZrP2O9,"['ZrO2', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-278,Na4HfP2O9,"['Na2CO3', 'NH4H2PO4', 'HfO2']",750.0,0.2,BF
Na-280,Na4CrP2O9,"['Cr2O3', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-281,Na4CoP2O9,"['Co3O4', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-282,Na5YP2O9,"['Y2O3', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-283,Na4NbP2O9,"['Nb2O5', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-284,Na5LaP2O9,"['La2O3', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-285,Na4WP2O9,"['WO3', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-286,Na3TaP2O9,"['Ta2O5', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-287,Na5GaP2O9,"['Ga2O3', 'Na2CO3', 'NH4H2PO4']",750.0,0.2,BF
Na-288,Na4CrP2O9,"['Cr2O3', 'Na2CO3', 'NH4H2PO4']",900.0,0.2,BF
Na-289,Na4CoP2O9,"['Co3O4', 'Na2CO3', 'NH4H2PO4']",900.0,0.2,BF
Na-290,Na5YP2O9,"['Y2O3', 'Na2CO3', 'NH4H2PO4']",900.0,0.2,BF
