Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
NSC-136,Na1.1Hf2.0(PO4)3.0,"['Na2CO3', 'HfO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-137,Na0.55Ta2.0(PO4)3.0,"['Na2CO3', 'Ta2O5', 'NH4H2PO4']",1100.0,0.2,BF
NSC-138,Na3.3Sc2.0(PO4)3.0,"['Na2CO3', 'Sc2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-139,Na0.55Nb2.0(PO4)3.0,"['Na2CO3', 'Nb2O5', 'NH4H2PO4']",1100.0,0.2,BF
NSC-140,Na5.5Mg2.0(PO4)3.0,"['Na2CO3', 'MgO', 'NH4H2PO4']",1100.0,0.2,BF
NSC-141,Na1.1Ti2.0(PO4)3.0,"['Na2CO3', 'TiO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-142,Na3.3In2.0(PO4)3.0,"['Na2CO3', 'In2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-143,Na3.3Y2.0(PO4)3.0,"['Na2CO3', 'Y2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-144,Na3.3Ga2.0(PO4)3.0,"['Na2CO3', 'Ga2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-145,Na3.3Al2.0(PO4)3.0,"['Na2CO3', 'Al2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-146,Na5.5Zn2.0(PO4)3.0,"['Na2CO3', 'ZnO', 'NH4H2PO4']",1100.0,0.2,BF
NSC-147,Na3.3La2.0(PO4)3.0,"['Na2CO3', 'La2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-148,Na4.4Hf2.0(SiO4)3.0,"['Na2CO3', 'HfO2', 'SiO2']",1100.0,0.2,BF
NSC-149,Na4.4Zr2.0(SiO4)3.0,"['Na2CO3', 'ZrO2', 'SiO2']",1100.0,0.2,BF
NSC-150,Na3.85Ta2.0(SiO4)3.0,"['Na2CO3', 'Ta2O5', 'SiO2']",1100.0,0.2,BF
NSC-151,Na6.6Sc2.0(SiO4)3.0,"['Na2CO3', 'Sc2O3', 'SiO2']",1100.0,0.2,BF
NSC-152,Na3.85Nb2.0(SiO4)3.0,"['Na2CO3', 'Nb2O5', 'SiO2']",1100.0,0.2,BF
NSC-153,Na8.8Mg2.0(SiO4)3.0,"['Na2CO3', 'MgO', 'SiO2']",1100.0,0.2,BF
NSC-154,Na4.4Ti2.0(SiO4)3.0,"['Na2CO3', 'TiO2', 'SiO2']",1100.0,0.2,BF
NSC-155,Na6.6In2.0(SiO4)3.0,"['Na2CO3', 'In2O3', 'SiO2']",1100.0,0.2,BF
NSC-156,Na4.4Sn2.0(SiO4)3.0,"['Na2CO3', 'SnO2', 'SiO2']",1100.0,0.2,BF
NSC-157,Na6.6Y2.0(SiO4)3.0,"['Na2CO3', 'Y2O3', 'SiO2']",1100.0,0.2,BF
NSC-158,Na6.6Ga2.0(SiO4)3.0,"['Na2CO3', 'Ga2O3', 'SiO2']",1100.0,0.2,BF
NSC-159,Na6.6Al2.0(SiO4)3.0,"['Na2CO3', 'Al2O3', 'SiO2']",1100.0,0.2,BF
NSC-160,Na8.8Zn2.0(SiO4)3.0,"['Na2CO3', 'ZnO', 'SiO2']",1100.0,0.2,BF
NSC-161,Na4.4Ge2.0(SiO4)3.0,"['Na2CO3', 'GeO2', 'SiO2']",1100.0,0.2,BF
NSC-162,Na6.6La2.0(SiO4)3.0,"['SiO2', 'Na2CO3', 'La2O3']",1100.0,0.2,BF
NSC-163,Na1.1Hf0.5Zr0.5Ti0.5Ge0.5(PO4)3.0,"['Na2CO3', 'HfO2', 'ZrO2', 'TiO2', 'GeO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-164,Na1.1Zr0.5Ti0.5Sn0.5Ge0.5(PO4)3.0,"['Na2CO3', 'ZrO2', 'TiO2', 'SnO2', 'GeO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-165,Na4.4Hf0.5Zr0.5Ti0.5Ge0.5(SiO4)3.0,"['Na2CO3', 'HfO2', 'ZrO2', 'TiO2', 'GeO2', 'SiO2']",1100.0,0.2,BF
NSC-166,Na4.4Zr0.5Ti0.5Sn0.5Ge0.5(SiO4)3.0,"['Na2CO3', 'ZrO2', 'TiO2', 'SnO2', 'GeO2', 'SiO2']",1100.0,0.2,BF
NSC-167,Na3.3Sc1.0Al1.0(PO4)3.0,"['Na2CO3', 'Sc2O3', 'Al2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-168,Na1.1Hf1.0Zr1.0(PO4)3.0,"['Na2CO3', 'HfO2', 'ZrO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-169,Na2.2Zr1.0Sc1.0(PO4)3.0,"['Na2CO3', 'ZrO2', 'Sc2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-170,Na1.1Hf1.0Sn1.0(PO4)3.0,"['Na2CO3', 'HfO2', 'SnO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-171,Na1.1Sn1.0Ge1.0(PO4)3.0,"['Na2CO3', 'SnO2', 'GeO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-172,Na2.2Sc1.0Sn1.0(PO4)3.0,"['Na2CO3', 'Sc2O3', 'SnO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-173,Na1.1Hf1.0Ti1.0(PO4)3.0,"['Na2CO3', 'HfO2', 'TiO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-174,Na1.1Ti1.0Ge1.0(PO4)3.0,"['Na2CO3', 'TiO2', 'GeO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-175,Na2.2Sc1.0Ti1.0(PO4)3.0,"['Na2CO3', 'Sc2O3', 'TiO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-176,Na1.1Hf1.0Ge1.0(PO4)3.0,"['Na2CO3', 'HfO2', 'GeO2', 'NH4H2PO4']",1100.0,0.2,BF
NSC-177,Na2.2Hf1.0Sc1.0(PO4)3.0,"['Na2CO3', 'HfO2', 'Sc2O3', 'NH4H2PO4']",1100.0,0.2,BF
NSC-178,Na2.2Sc1.0Ge1.0(PO4)3.0,"['Na2CO3', 'Sc2O3', 'GeO2', 'NH4H2PO4']",1100.0,0.2,BF
