Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
PG-1734-1,HfPH6NO6,"['HfO2_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-1735-1,Na2Hf2CO7,"['HfO2_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-1738-1,Hf2Nb2O9,"['HfO2_PG', 'Nb2O5_PG']",900.0,0.02,BF
PG-1739-1,HfNiO3,"['HfO2_PG', 'NiO_PG']",1100.0,0.02,BF
PG-1740-1,HfPbO3,"['HfO2_PG', 'PbO_PG']",500.0,0.02,BF
PG-1834-1,In2PH6NO7,"['In2O3_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-1835-1,Na2In2CO6,"['In2O3_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-1838-1,NbInO4,"['In2O3_PG', 'Nb2O5_PG']",900.0,0.02,BF
PG-1839-1,In2Ni2O5,"['In2O3_PG', 'NiO_PG']",1100.0,0.02,BF
PG-1840-1,In2Pb2O5,"['PbO_PG', 'In2O3_PG']",500.0,0.02,BF
PG-1934-1,K4PH12C2NO13,"['K2CO3(H2O)1.5_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-1935-1,K4Na4H6C4O15,"['K2CO3(H2O)1.5_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-1938-1,K4Nb4H6C2O19,"['K2CO3(H2O)1.5_PG', 'Nb2O5_PG']",500.0,0.02,BF
PG-1939-1,K4Ni4H6C2O13,"['K2CO3(H2O)1.5_PG', 'NiO_PG']",500.0,0.02,BF
PG-1940-1,K4H6Pb4C2O13,"['K2CO3(H2O)1.5_PG', 'PbO_PG']",500.0,0.02,BF
PG-2034-1,KP2H8NO8,"['NH4H2PO4_PG', 'KH2PO4_PG']",200.0,0.02,BF
PG-2035-1,K2Na2P2H4CO11,"['KH2PO4_PG', 'Na2CO3_PG']",200.0,0.02,BF
