Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
PG-1250-1,Y6Fe6O17,"['Fe3O4', 'Y2O3']",1000.0,1,BF
PG-1126-1,MnCuO2,"['CuO', 'MnO']",800.0,1,BF
PG-1338-1,NbFeO4,"['Fe2O3', 'Nb2O5']",900.0,1,BF
PG-3534-1,Na2PH6CNO7,"['Na2CO3', 'NH4H2PO4']",200.0,1,BF
PG-1346-1,Ti2Fe2O7,"['Fe2O3', 'TiO2']",1000.0,1,BF
PG-0638-1,NbBiO4,"['Bi2O3', 'Nb2O5']",500.0,1,BF
PG-1051-1,Zn2Cr2O5,"['Cr2O3', 'ZnO']",1100.0,1,BF
PG-0734-1,CaPH6CNO7,"['CaCO3', 'NH4H2PO4']",200.0,1,BF
PG-0851-1,ZnCoO2,"['CoO', 'ZnO']",1100.0,1,BF
PG-1026-1,Mn2Cr2O5,"['Cr2O3', 'MnO']",1100.0,1,BF
PG-4851-1,V2Zn2O7,"['V2O5', 'ZnO']",400.0,1,BF
PG-1651-1,ZnGeO3,"['GeO2', 'ZnO']",700.0,1,BF
PG-0849-1,CoWO4,"['CoO', 'WO3']",900.0,1,BF
PG-1048-1,VCrO4,"['Cr2O3', 'V2O5']",400.0,1,BF
PG-0630-1,Bi2Mo2O9,"['Bi2O3', 'MoO3']",400.0,1,BF
PG-1245-1,Sr3Fe3C3O13,"['Fe3O4', 'SrCO3']",900.0,1,BF
PG-1040-1,Cr2Pb2O5,"['Cr2O3', 'PbO']",500.0,1,BF
PG-1251-1,Zn3Fe3O7,"['Fe3O4', 'ZnO']",1000.0,1,BF
PG-1450-1,Y2Fe2H8C4O15,"['FeC2O4(H2O)2', 'Y2O3']",200.0,1,BF
