Name,selection,trust_prob,llm,signal,overshoot,ratio,balance,missing_peaks,extra_peaks
PG_1048_1,both a & b,0.6306986973150344,0.7,11384.189478313656,323.8762134087842,35.14981652556548,0.9744,3.0,10.0
ARR_208,both a & b,0.8024733426821478,0.85,74752.3724072647,210.53028986249694,355.06706638786994,0.9991,1.0,0.0
TRI_80,both a & b,0.8083284046170874,0.76,22364.2300141408,329.9996999129908,67.7704556096186,0.9967888888888888,0.0,0.0
TRI_114,both a & b,0.6407698703038824,0.75,21310.86648887367,404.83334882306895,52.64108441369417,0.9639,9.0,8.0
TRI_183,both a & b,0.626798254737194,0.85,15228.475534852303,514.0629999676526,29.623753383944294,0.9964,15.0,20.0
PG_1048_1,both a & b,0.6306986973150344,0.7,11384.189478313656,323.8762134087842,35.14981652556548,0.9744,3.0,10.0
PG_0849_1,both a & b,0.6562997479979659,0.85,24787.53716649984,287.9632160283824,86.0788315548494,0.8976,7.0,4.0
TRI_111,both a & b,0.6525919174910997,0.6,20057.903006311022,821.0340768313562,24.430049339390575,0.9676,17.0,1.0
ARR_54,both a & b,0.6455778258555613,0.85,31628.674886716475,720.7112090755161,43.88536557838165,0.983125,5.0,6.0
ARR_208,both a & b,0.8024733426821478,0.85,74752.3724072647,210.53028986249694,355.06706638786994,0.9991,1.0,0.0
TRI_102,both a & b,0.8044426816438774,0.75,24587.814029398498,444.39973589776247,55.32814725851932,0.9981222222222222,0.0,0.0
ARR_110,both a & b,0.4135169482642248,0.75,10841.319905649716,1441.9056363608943,7.518744384002286,0.999920987654321,7.0,10.0
ARR_194,both a & b,0.783881972078497,0.75,69631.66636614045,304.33529571415363,228.79918085985616,0.99890625,2.0,0.0
PG_1048_1,both a & b,0.6306986973150344,0.7,11384.189478313656,323.8762134087842,35.14981652556548,0.9744,3.0,10.0
PG_0849_1,both a & b,0.6562997479979659,0.85,24787.53716649984,287.9632160283824,86.0788315548494,0.8976,7.0,4.0
TRI_102,both a & b,0.8044426816438774,0.75,24587.814029398498,444.39973589776247,55.32814725851932,0.9981222222222222,0.0,0.0
ARR_194,both a & b,0.783881972078497,0.75,69631.66636614045,304.33529571415363,228.79918085985616,0.99890625,2.0,0.0
