TRI,Original Best AIF,New Best AIF (Weighted),Same AIF Selection?,Chemist Preference,Interpretation A,Score A,Interpretation B,Score B,Preweighted-Based Preference,Weighted Posterior (Original AIF),Weighted Posterior (New AIF),Weighted Posterior (DARA I_1),Weighted-Based Preference,Agreement,Preference Shift?
TRI_27,I_2,I_6,False,B,AIF,0.0,DARA,1.0,A,0.1411145278582371,0.1588863943286569,0.09790144808292174,A,❌ Disagreement,✅ Consistent
TRI_28,I_13,I_13,True,A,DARA,1.0,AIF,0.5,B,0.08117365313747629,0.08117365313747629,0.06103395557260653,B,❌ Disagreement,✅ Consistent
TRI_31,I_4,I_4,True,A,AIF,1.0,DARA,1.0,A,0.15097799280889007,0.15097799280889007,0.12899506235677,A,✅ Agreement,✅ Consistent
TRI_32,I_3,I_3,True,B,DARA,1.0,AIF,1.0,B,0.2132998389402257,0.2132998389402257,0.19090626219161252,B,✅ Agreement,✅ Consistent
TRI_38,I_2,I_2,True,neither A nor B,DARA,1.0,AIF,1.0,B,0.5134921848005191,0.5134921848005191,0.48650781519948094,B,❌ Disagreement,✅ Consistent
TRI_39,I_2,I_4,False,A,AIF,1.0,DARA,1.0,A,0.24986171404913537,0.25495662114588774,0.24575746717921726,A,✅ Agreement,✅ Consistent
TRI_62,I_3,I_3,True,both A & B,AIF,1.0,DARA,1.0,A,0.11527770665723625,0.11527770665723625,0.10630170747705318,A,❌ Disagreement,✅ Consistent
TRI_63,I_3,I_3,True,both A & B,AIF,1.0,DARA,1.0,A,0.3400286958187795,0.3400286958187795,0.32069959776111967,A,❌ Disagreement,✅ Consistent
TRI_64,I_2,I_2,True,both A & B,DARA,1.0,AIF,1.0,B,0.5443313656581196,0.5443313656581196,0.4556686343418804,B,❌ Disagreement,✅ Consistent
TRI_78,I_2,I_3,False,B,AIF,1.0,DARA,1.0,A,0.2513733963822392,0.26198064726950854,0.22757207297185603,A,❌ Disagreement,✅ Consistent
TRI_79,I_4,I_2,False,A,DARA,1.0,AIF,1.0,B,0.17248839328013016,0.17873883940217664,0.16586710609029026,B,❌ Disagreement,✅ Consistent
TRI_80,I_3,I_2,False,A,DARA,1.0,AIF,1.0,B,0.3172205544895902,0.3222560571218717,0.30158959831270377,B,❌ Disagreement,✅ Consistent
TRI_81,I_2,I_3,False,A,AIF,1.0,DARA,1.0,A,0.3267851222529555,0.34404429616536775,0.32917058158167684,A,✅ Agreement,✅ Consistent
TRI_82,I_3,I_5,False,neither A nor B,AIF,0.5,DARA,0.5,A,0.1917814838590859,0.19444149595912358,0.17269348906986942,A,❌ Disagreement,✅ Consistent
TRI_83,I_4,I_4,True,both A & B,AIF,1.0,DARA,1.0,A,0.21378007432219656,0.21378007432219656,0.18668928795609102,A,❌ Disagreement,✅ Consistent
TRI_84,I_3,I_3,True,neither A nor B,AIF,1.0,DARA,1.0,A,0.2511886917380015,0.2511886917380015,0.26147713887712376,A,❌ Disagreement,✅ Consistent
TRI_86,I_2,I_2,True,both A & B,AIF,1.0,DARA,1.0,A,0.3202265300714006,0.3202265300714006,0.2989547804570951,A,❌ Disagreement,✅ Consistent
TRI_90,I_3,I_3,True,both A & B,AIF,0.5,DARA,1.0,A,0.32308294089806083,0.32308294089806083,0.29957889763717366,A,❌ Disagreement,✅ Consistent
TRI_91,I_2,I_2,True,A,DARA,1.0,AIF,1.0,B,0.13328282616766926,0.13328282616766926,0.12113706275908878,B,❌ Disagreement,✅ Consistent
TRI_92,I_3,I_3,True,A,DARA,1.0,AIF,1.0,B,0.16558337735450565,0.16558337735450565,0.16662321044617537,B,❌ Disagreement,✅ Consistent
TRI_94,I_7,I_7,True,A,AIF,0.5,DARA,0.5,A,0.12018388934594547,0.12018388934594547,0.10917979588531315,A,✅ Agreement,✅ Consistent
TRI_99,I_11,I_14,False,A,AIF,1.0,DARA,1.0,A,0.06916771781867173,0.06962937575352555,0.06454302596201628,A,✅ Agreement,✅ Consistent
TRI_100,I_3,I_3,True,A,DARA,1.0,AIF,1.0,B,0.17437141471500028,0.17437141471500028,0.16702637726593778,B,❌ Disagreement,✅ Consistent
TRI_101,I_4,I_4,True,A,DARA,1.0,AIF,1.0,B,0.12626632962895046,0.12626632962895046,0.1212483296873169,B,❌ Disagreement,✅ Consistent
TRI_102,I_4,I_4,True,A,DARA,1.0,AIF,1.0,B,0.12982784063006775,0.12982784063006775,0.121222093374399,B,❌ Disagreement,✅ Consistent
TRI_103,I_2,I_3,False,both A & B,AIF,0.5,DARA,0.5,A,0.11096540358704421,0.11745426432639348,0.10946306694989383,A,❌ Disagreement,✅ Consistent
TRI_104,I_2,I_2,True,A,AIF,0.5,DARA,0.5,A,0.19346141035256373,0.19346141035256373,0.11597830420766125,A,✅ Agreement,✅ Consistent
TRI_105,I_3,I_4,False,B,AIF,1.0,DARA,1.0,A,0.13586186049439308,0.14402865236480616,0.13601185262061108,A,❌ Disagreement,✅ Consistent
TRI_106,I_4,I_2,False,A,AIF,0.5,DARA,0.0,A,0.23985234449176238,0.244435449099241,0.2758598491997271,A,✅ Agreement,✅ Consistent
TRI_112,I_4,I_9,False,neither A nor B,AIF,0.0,DARA,0.0,A,0.11738926724090004,0.12149899100949571,0.045499946642579434,A,❌ Disagreement,✅ Consistent
TRI_113,I_5,I_4,False,neither A nor B,AIF,0.0,DARA,0.0,A,0.13449798071151967,0.13548416055088644,0.12607851541670803,A,❌ Disagreement,✅ Consistent
TRI_130,I_4,I_2,False,A,DARA,1.0,AIF,0.0,B,0.12322096291396163,0.12891241561019934,0.12316411837311686,B,❌ Disagreement,✅ Consistent
TRI_172,I_7,I_7,True,B,DARA,1.0,AIF,1.0,B,0.15493876456024874,0.15493876456024874,0.13434549896378983,B,✅ Agreement,✅ Consistent
TRI_180,I_2,I_2,True,B,AIF,1.0,DARA,1.0,A,0.0,0.0,0.0,neither A nor B,❌ Disagreement,🔁 Changed
TRI_181,I_8,I_8,True,neither A nor B,AIF,0.0,DARA,0.0,A,0.03814108558314569,0.03814108558314569,0.020245323292813762,A,❌ Disagreement,✅ Consistent
TRI_182,I_2,I_2,True,both A & B,AIF,1.0,DARA,1.0,A,0.5199374232095987,0.5199374232095987,0.48006257679040126,A,❌ Disagreement,✅ Consistent
TRI_183,I_3,I_4,False,A,DARA,0.5,AIF,0.5,B,0.1500679303561844,0.15020593501829574,0.12759958446124556,B,❌ Disagreement,✅ Consistent
TRI_184,I_7,I_9,False,A,AIF,0.5,DARA,0.5,A,0.1137925524726435,0.11890639572360057,0.10056127460247069,A,✅ Agreement,✅ Consistent
TRI_185,I_3,I_4,False,B,DARA,1.0,AIF,1.0,B,0.2171909015932183,0.21836279494713853,0.2012612718214839,B,✅ Agreement,✅ Consistent
TRI_186,I_5,I_5,True,B,DARA,1.0,AIF,1.0,B,0.1532227182068776,0.1532227182068776,0.1406992405288324,B,✅ Agreement,✅ Consistent
TRI_189,I_3,I_2,False,neither A nor B,DARA,0.5,AIF,0.5,B,0.14880636509267647,0.14904112594062324,0.12279194322737096,B,❌ Disagreement,✅ Consistent
TRI_191,I_2,I_3,False,both A & B,AIF,1.0,DARA,1.0,A,0.18140665253054222,0.20104855487985962,0.17830979529519916,A,❌ Disagreement,✅ Consistent
TRI_192,I_2,I_3,False,A,AIF,,DARA,,A,0.1836905964467846,0.19963912996593536,0.18019859475285407,A,✅ Agreement,✅ Consistent
TRI_194,I_3,I_3,True,A,DARA,1.0,AIF,0.5,B,0.23355905403686714,0.23355905403686714,0.22940835965318415,B,❌ Disagreement,✅ Consistent
TRI_197,I_4,I_4,True,B,DARA,0.0,AIF,0.5,B,0.41144553623023383,0.41144553623023383,0.28439276540332953,B,✅ Agreement,✅ Consistent
