TRI,Original Best AIF,New Best AIF (Weighted),Same AIF Selection?,Chemist Preference,Interpretation A,Score A,Interpretation B,Score B,Weighted-Based Preference
TRI_27,I_2,I_2,True,B,AIF,0.0,DARA,1.0,neither
TRI_28,I_13,I_2,False,A,DARA,1.0,AIF,0.5,neither
TRI_31,I_4,I_2,False,A,AIF,1.0,DARA,1.0,neither
TRI_32,I_3,I_2,False,B,DARA,1.0,AIF,1.0,neither
TRI_38,I_2,I_2,True,neither A nor B,DARA,1.0,AIF,1.0,neither
TRI_39,I_2,I_2,True,A,AIF,1.0,DARA,1.0,neither
TRI_62,I_3,I_2,False,both A & B,AIF,1.0,DARA,1.0,neither
TRI_63,I_3,I_2,False,both A & B,AIF,1.0,DARA,1.0,neither
TRI_64,I_2,I_2,True,both A & B,DARA,1.0,AIF,1.0,neither
TRI_78,I_2,I_2,True,B,AIF,1.0,DARA,1.0,neither
TRI_79,I_4,I_2,False,A,DARA,1.0,AIF,1.0,neither
TRI_80,I_3,I_2,False,A,DARA,1.0,AIF,1.0,neither
TRI_81,I_2,I_2,True,A,AIF,1.0,DARA,1.0,neither
TRI_82,I_3,I_2,False,neither A nor B,AIF,0.5,DARA,0.5,neither
TRI_83,I_4,I_2,False,both A & B,AIF,1.0,DARA,1.0,neither
TRI_84,I_3,I_2,False,neither A nor B,AIF,1.0,DARA,1.0,neither
TRI_86,I_2,I_2,True,both A & B,AIF,1.0,DARA,1.0,neither
TRI_90,I_3,I_2,False,both A & B,AIF,0.5,DARA,1.0,neither
TRI_91,I_2,I_2,True,A,DARA,1.0,AIF,1.0,neither
TRI_92,I_3,I_2,False,A,DARA,1.0,AIF,1.0,neither
TRI_94,I_7,I_2,False,A,AIF,0.5,DARA,0.5,neither
TRI_99,I_11,I_2,False,A,AIF,1.0,DARA,1.0,neither
TRI_100,I_3,I_2,False,A,DARA,1.0,AIF,1.0,neither
TRI_101,I_4,I_2,False,A,DARA,1.0,AIF,1.0,neither
TRI_102,I_4,I_2,False,A,DARA,1.0,AIF,1.0,neither
TRI_103,I_2,I_2,True,both A & B,AIF,0.5,DARA,0.5,neither
TRI_104,I_2,I_2,True,A,AIF,0.5,DARA,0.5,neither
TRI_105,I_3,I_2,False,B,AIF,1.0,DARA,1.0,neither
TRI_106,I_4,I_2,False,A,AIF,0.5,DARA,0.0,neither
TRI_112,I_4,I_2,False,neither A nor B,AIF,0.0,DARA,0.0,neither
TRI_113,I_5,I_2,False,neither A nor B,AIF,0.0,DARA,0.0,neither
TRI_130,I_4,I_4,True,A,DARA,1.0,AIF,0.0,DARA
TRI_172,I_7,I_2,False,B,DARA,1.0,AIF,1.0,neither
TRI_180,I_2,I_2,True,B,AIF,1.0,DARA,1.0,neither
TRI_181,I_8,I_2,False,neither A nor B,AIF,0.0,DARA,0.0,neither
TRI_182,I_2,I_2,True,both A & B,AIF,1.0,DARA,1.0,both
TRI_183,I_3,I_2,False,A,DARA,0.5,AIF,0.5,neither
TRI_184,I_7,I_2,False,A,AIF,0.5,DARA,0.5,neither
TRI_185,I_3,I_2,False,B,DARA,1.0,AIF,1.0,neither
TRI_186,I_5,I_2,False,B,DARA,1.0,AIF,1.0,neither
TRI_189,I_3,I_2,False,neither A nor B,DARA,0.5,AIF,0.5,neither
TRI_191,I_2,I_2,True,both A & B,AIF,1.0,DARA,1.0,neither
TRI_192,I_2,I_2,True,A,AIF,,DARA,,neither
TRI_194,I_3,I_2,False,A,DARA,1.0,AIF,0.5,neither
TRI_197,I_4,I_4,True,B,DARA,0.0,AIF,0.5,both
